id,nome,telefone,cep,cidade,logradouro,bairro,campus,data_nascimento,numero_casa,lider,pastor,sexo
30,Jourdain,230-668-8913,65862-552,Ubiaja,Shasta,Sincé,Nigeria,26/09/2023,0,Jourdain Crasswell,Jourdain Darton,Male
31,Taylor,862-856-1175,0338-1049,Nedakonice,Arizona,Baruunturuun,Czech Republic,17/04/2024,972,Taylor Paz,Taylor Skirlin,Male
32,Swen,379-222-5491,0904-6295,Prozor,Homewood,Osinniki,Bosnia and Herzegovina,30/09/2023,99,Swen Allcroft,Swen Dockrey,Male
33,Fidelity,266-985-9776,64613-5800,Zyryanovsk,Delaware,Lingdangge,Kazakhstan,14/12/2023,36,Fidelity Rozycki,Fidelity O'Corrane,Female
34,Avivah,163-202-0374,43689-0004,Doloplazy,Saint Paul,Xijiao,Czech Republic,21/10/2023,92,Avivah Duffell,Avivah Late,Female
35,Basilio,156-936-7784,0615-6563,Pasto,Oriole,Łużna,Colombia,26/03/2024,90,Basilio Ferencz,Basilio Gowan,Male
36,Prescott,821-918-2147,0603-5090,Banjar Ambengan,Blackbird,Sapucaia,Indonesia,17/09/2023,3128,Prescott Dureden,Prescott Eathorne,Male
37,Anna-maria,622-416-2067,60512-0016,"Palmas De Gran Canaria, Las",Nancy,Chroustovice,Spain,29/06/2023,567,Anna-maria Haggerstone,Anna-maria Willbourne,Female
38,Maddie,593-485-9925,49643-108,Orléans,Derek,Las Vegas,France,30/11/2023,2108,Maddie Alexis,Maddie Corkitt,Male
39,Osbourne,953-369-4567,11701-045,Capitán Sarmiento,Vera,Mizoch,Argentina,07/04/2024,4782,Osbourne Davydkov,Osbourne Finlayson,Male
40,De,890-719-1827,61727-335,Ugac Sur,Fieldstone,Nizhnepavlovka,Philippines,27/06/2023,93,De Fawltey,De Hoxey,Female
41,Garnette,571-241-4134,51079-949,Richmond,Continental,Porto Calvo,United States,25/07/2023,432,Garnette Dover,Garnette Dunsmore,Female
42,Devy,685-897-4285,49527-571,Longra,Grayhawk,Pontian,Portugal,15/12/2023,597,Devy Rizzillo,Devy Itzkov,Male
43,Trevar,692-402-7851,10812-840,Santiago De Compostela,Eggendart,Bošovice,Spain,03/11/2023,640,Trevar Lees,Trevar Dowears,Male
44,Monique,298-467-0429,10544-214,Sydney,Nancy,Cashel,Australia,06/01/2024,093,Monique Gouda,Monique Haslegrave,Female
45,Brander,525-339-8596,0268-1460,Kuala Pilah,Carey,Jundiaí,Malaysia,31/12/2023,3,Brander Kollas,Brander Witchell,Male
46,Perry,124-921-3531,49999-338,Longlisuo,Porter,Souto,China,17/05/2023,85,Perry Stuchbery,Perry Bovingdon,Female
47,Lionello,250-941-0780,50268-691,Kiamba,Valley Edge,Yosowilangun,Philippines,07/06/2023,60,Lionello Dureden,Lionello Dunster,Male
48,Sunshine,742-361-3118,10742-8379,Helsingborg,Maryland,Otse,Sweden,12/04/2024,52987,Sunshine Clemanceau,Sunshine Bever,Female
49,Brocky,463-874-5690,10191-1253,Mogi Guaçu,Delladonna,Jiahe,Brazil,28/11/2023,20973,Brocky Gossage,Brocky Satteford,Male
50,Kermit,847-609-7451,63868-157,Ilesa,Spenser,Pingyao,Nigeria,16/03/2024,16,Kermit Rozzier,Kermit Stife,Male
51,Alie,797-106-9654,68084-734,Hendala,Mallory,Azacualpa,Sri Lanka,16/07/2023,5996,Alie Pendergast,Alie Bambrough,Female
52,Shawn,656-932-5764,14783-240,Ḑawrān ad Daydah,Dryden,Panineungan,Yemen,30/09/2023,982,Shawn Worlidge,Shawn Milkins,Male
53,Gaylene,184-891-3519,49230-188,Nova Iguaçu,Gateway,Choya,Brazil,29/03/2024,03217,Gaylene MacGahy,Gaylene Wasmuth,Female
54,Bethina,188-670-6725,55806-020,Shiroi,Larry,Roshal’,Japan,15/03/2024,91156,Bethina Haggidon,Bethina Wiltshear,Female
55,Querida,515-154-1121,68788-9492,Regimin,Talisman,Giesteira,Poland,22/07/2023,9783,Querida Soldan,Querida Thewles,Female
56,Kimmie,753-934-3459,37808-186,Yaroslavskiy,Stang,Partido,Russia,08/09/2023,8247,Kimmie Jones,Kimmie Kleine,Female
57,Verney,187-109-2091,63148-240,Phúc Yên,Cardinal,Ketang,Vietnam,24/08/2023,643,Verney Lorkin,Verney Hebborn,Male
58,Toddie,390-298-5226,55253-075,Bridgewater,Milwaukee,San Diego,Canada,27/04/2023,41788,Toddie Botterell,Toddie Cossom,Male
59,Shelley,271-577-2895,68151-3977,Tojeira,Pepper Wood,Monção,Portugal,13/01/2024,2,Shelley Kells,Shelley Peres,Female
60,Rudyard,522-994-8856,49349-739,Brangsi,Heath,Kangar,Indonesia,24/06/2023,54,Rudyard Neat,Rudyard Maden,Male
61,Dario,455-739-2763,53807-408,København,Talisman,Kedungsumurkrajan,Denmark,06/11/2023,4,Dario Hapke,Dario Penddreth,Male
62,Corey,590-661-9867,64720-141,Al Maḩjal,Wayridge,Dolní Kounice,Yemen,13/01/2024,90252,Corey Utley,Corey Ply,Female
63,Carmine,740-939-4982,0187-5466,Columbus,Algoma,Riangbao,United States,26/11/2023,11,Carmine Errol,Carmine Bridat,Female
64,Astra,837-182-7093,64370-375,Almelo,Dryden,Gorzyce,Netherlands,03/12/2023,662,Astra Triplow,Astra Pitblado,Female
65,Angelita,677-839-6125,49781-092,les Escaldes,Loeprich,Oravais,Andorra,19/07/2023,8,Angelita Fassman,Angelita Noteyoung,Female
66,Gerty,227-616-9340,64159-7047,Ciakar,Doe Crossing,Torslanda,Indonesia,15/03/2024,3,Gerty Stepto,Gerty Kerner,Female
67,Marrilee,284-577-7900,0603-4991,Odemira,Mockingbird,Wangping,Portugal,28/07/2023,348,Marrilee Worden,Marrilee Tilio,Female
68,Kermit,339-357-7626,43269-677,Tumauini,Caliangt,Ettelbruck,Philippines,30/10/2023,381,Kermit Kohnen,Kermit Delatour,Male
69,Ashton,855-209-0329,43269-650,La Paz,Carioca,Zebrzydowice,Uruguay,19/11/2023,97,Ashton Scoffham,Ashton Azemar,Male
70,Etty,812-459-0843,49631-182,Whitegate,Loftsgordon,Laguilayan,Ireland,13/04/2024,76,Etty Beadman,Etty Pletts,Female
71,Neysa,694-199-9747,59746-244,Belo sur Tsiribihina,Lakewood,Dalsjöfors,Madagascar,14/09/2023,4,Neysa Glentz,Neysa Lusher,Female
72,Clim,748-667-6908,43406-0010,Hoeryŏng,Mccormick,Skhirat,North Korea,10/12/2023,12,Clim Robeiro,Clim Pridden,Male
73,Jeremy,548-619-1840,53113-657,Vale Boeiro,Red Cloud,Shalang,Portugal,05/11/2023,7553,Jeremy Chasney,Jeremy Abramamov,Male
74,Gualterio,561-573-5920,55154-7706,Machachi,Goodland,Tiyuguan,Ecuador,06/10/2023,183,Gualterio Snelgrove,Gualterio Cowern,Male
75,Otho,221-877-9312,60512-6454,Canillo,Hanover,San Andres,Andorra,13/06/2023,41199,Otho Plumtree,Otho Leroux,Male
76,Vevay,754-153-7317,50742-207,Betzdorf,Sycamore,Lianshan,Luxembourg,09/10/2023,4,Vevay Cassey,Vevay Randell,Female
77,Eachelle,945-685-1536,60512-6566,Rio Preto da Eva,Ronald Regan,Valence,Brazil,11/08/2023,353,Eachelle Vest,Eachelle Ellershaw,Female
78,Lin,605-778-7961,42507-882,Stavyshche,Talisman,Guay,Ukraine,09/10/2023,5,Lin Hagerty,Lin Heber,Female
79,Wendell,122-749-8216,54365-400,Sainte-Sophie,Crowley,Banjar Dauhpura,Canada,07/05/2023,11527,Wendell Parks,Wendell Osselton,Male
80,Leela,534-580-1047,42947-611,Celendín,Talisman,Corozal,Peru,20/07/2023,6,Leela Prangley,Leela Chue,Female
81,Laina,533-501-5011,60760-037,Krajan Waturoyo,Lindbergh,Rayong,Indonesia,25/04/2023,4263,Laina Grogor,Laina Ivushkin,Female
82,Hedvig,847-430-2770,75940-122,Mpulungu,Bashford,Wuci,Zambia,16/05/2023,937,Hedvig Jumeau,Hedvig Caroli,Female
83,Cordelia,290-831-2077,63323-281,Pingfeng,Sheridan,Jingtan,China,28/03/2024,77,Cordelia Tivenan,Cordelia Quinney,Female
84,Ana,830-850-4322,16590-843,Pasarkayu,Tennessee,Silihe,Indonesia,22/11/2023,27038,Ana Golson,Ana Dhenin,Female
85,Karalynn,998-581-5541,55154-5526,Tanggulangin,Oak Valley,Kansas City,Indonesia,26/12/2023,4733,Karalynn Smewing,Karalynn Ivons,Female
86,Candi,439-571-8984,68703-081,Próchoma,Birchwood,Guangning,Greece,16/05/2023,1,Candi Luttger,Candi Spinelli,Female
87,Vallie,333-142-4343,49288-0074,Peristerá,Mayfield,Dolní Libina,Greece,19/09/2023,7194,Vallie Knudsen,Vallie Gilgryst,Female
88,Jefferey,337-465-6394,0944-2963,Kuching,Daystar,Tsibulev,Malaysia,10/02/2024,314,Jefferey Coot,Jefferey Chant,Male
89,Randell,143-167-8232,54868-0473,Laoshawan,Longview,Lisia Góra,China,23/04/2023,773,Randell Sample,Randell Simukov,Male
90,Patrizia,647-756-9682,0363-0373,Torez,Fair Oaks,Al Lagowa,Ukraine,16/09/2023,2763,Patrizia Gatherer,Patrizia Skate,Female
91,Laurent,399-231-0201,57469-050,Sabunçu,Melby,Tonj,Azerbaijan,01/03/2024,4,Laurent Ferryman,Laurent Lawrenceson,Male
92,Ninnetta,824-574-3826,66382-157,Rāwandūz,Holmberg,Bella Vista,Iraq,17/08/2023,561,Ninnetta Proffer,Ninnetta Ashbolt,Female
93,Carly,656-853-8163,52125-261,Weizhou,Crescent Oaks,Simpang,China,12/03/2024,22597,Carly Kayser,Carly Alastair,Male
94,Frederica,918-548-9742,63323-288,Nida,Annamark,Brumadinho,Lithuania,05/10/2023,2011,Frederica Quiddihy,Frederica Gerok,Female
95,Tuck,405-150-0580,13537-564,Barapas,Toban,Zhoukou,Indonesia,22/03/2024,398,Tuck Da Costa,Tuck Todhunter,Male
96,Gunner,746-804-8089,50048-015,Xinfu,Scott,Strasbourg,China,26/05/2023,30154,Gunner Czadla,Gunner Union,Male
97,Larry,475-456-1794,35356-790,Mahaddayweyne,Daystar,Loboniki,Somalia,30/03/2024,3,Larry Ivett,Larry Humphrys,Male
98,Andie,730-198-6142,58914-013,Cravinhos,Cordelia,Vogan,Brazil,22/05/2023,53853,Andie Mordan,Andie Reimer,Female
99,Roth,309-688-7486,50268-599,Calumpit,Stone Corner,Karolinka,Philippines,18/09/2023,947,Roth Wickendon,Roth Ilett,Male
100,Gerrie,651-954-7287,49288-0120,Aībak,Eliot,Wakduwa’ Barat,Afghanistan,21/02/2024,4553,Gerrie Paulisch,Gerrie Sandland,Male
101,Ettore,895-731-3199,63824-346,Kakanj,Steensland,Novovladykino,Bosnia and Herzegovina,24/12/2023,82,Ettore Youster,Ettore Ganforth,Male
102,Kat,485-314-1083,59062-1210,Tetyushi,Emmet,Sihe,Russia,19/02/2024,95728,Kat Cradoc,Kat Balmforth,Female
103,Shep,436-854-0930,0615-7624,Jiangcun,Autumn Leaf,Tianmuhu,China,23/06/2023,49574,Shep Le Brun,Shep Thursby,Male
104,Starr,592-455-3803,52686-271,Rembes,Farmco,Aţ Ţawīlah,Indonesia,26/11/2023,262,Starr Rodenhurst,Starr Lamyman,Female
105,Blinni,784-450-8862,36800-597,Dolice,Cardinal,Kuala Terengganu,Poland,11/09/2023,05,Blinni Culter,Blinni Abelson,Female
106,Beryle,675-235-3510,55316-359,Shamva,Magdeline,Yelizavetinskoye,Zimbabwe,02/12/2023,7,Beryle Mitkov,Beryle Armsby,Female
107,Bentley,762-813-3188,45802-327,Bansalan,John Wall,Hule,Philippines,02/11/2023,8,Bentley Satteford,Bentley O'Heyne,Male
108,Kylen,164-354-2547,50021-304,Xuxiake,Saint Paul,Malekān,China,03/01/2024,77,Kylen Anwyl,Kylen Merton,Female
109,Rosamond,187-305-9280,48951-2088,Horvati,Texas,Veghel,Croatia,15/07/2023,50,Rosamond Cawsby,Rosamond Weblin,Female
110,Casi,418-662-3766,42254-242,Aplahoué,Maywood,Lingcheng,Benin,23/05/2023,003,Casi Brotherhead,Casi Farnsworth,Female
111,Frans,491-521-7657,62362-184,Shijiao,Bartelt,Dolinsk,China,09/09/2023,2,Frans Pitchers,Frans Thurner,Male
112,Alejandra,302-661-8058,63629-5270,Nanxindian,Bluestem,Primošten,China,14/06/2023,457,Alejandra Farrans,Alejandra Hassey,Female
113,Hillyer,370-574-8801,63824-190,Nanganumba,Jay,Tutong,Indonesia,28/07/2023,36092,Hillyer Goor,Hillyer O' Mahony,Male
114,Clarine,844-732-2150,0378-4514,‘Amrān,Toban,Santos Evos,Yemen,10/06/2023,286,Clarine Riba,Clarine Warcup,Female
115,Brigida,112-895-2157,61601-0082,Shangmofang,Tomscot,Houyu,China,13/03/2024,92726,Brigida Key,Brigida Abrahamowitcz,Female
116,Kellsie,465-863-5617,61941-0051,Verkhnye Syn’ovydne,Lakewood Gardens,Chengdong,Ukraine,13/06/2023,24809,Kellsie Linneman,Kellsie Bordone,Female
117,Falkner,619-921-2129,61957-2103,San Diego,David,Van Nuys,United States,20/02/2024,290,Falkner Arber,Falkner Berka,Male
118,Ruthie,169-303-8115,76509-800,Toguchin,Ryan,Paccha,Russia,07/01/2024,3,Ruthie Godfrey,Ruthie McGown,Female
119,Auria,516-522-3833,64205-212,Huayllati,Myrtle,Sainte-Adèle,Peru,01/10/2023,87,Auria Bresson,Auria Adlem,Female
120,Amitie,778-902-1794,56104-527,Krapivna,Autumn Leaf,Shilong,Russia,23/04/2023,5,Amitie Corss,Amitie McNaughton,Female
121,Suzette,908-277-0365,53942-502,Az Zintān,John Wall,Pardelhas,Libya,16/07/2023,96689,Suzette Dilon,Suzette Beddie,Female
122,Lemmie,952-443-1590,52072-003,Yatsushiro,Summerview,Räpina,Japan,13/12/2023,6205,Lemmie McRinn,Lemmie Eskriett,Male
123,Godfrey,112-792-2215,16729-170,Sabinópolis,Lighthouse Bay,Jalgung,Brazil,17/12/2023,71296,Godfrey Hughman,Godfrey Streeter,Male
124,Karlik,307-737-3952,57955-5318,Airmolek,Logan,Charlotte Amalie,Indonesia,09/08/2023,7947,Karlik Beric,Karlik Velti,Male
125,Tyne,907-573-6428,23155-113,Palma De Mallorca,Hauk,Fāraskūr,Spain,10/08/2023,0369,Tyne Glazyer,Tyne McIntosh,Female
126,Payton,814-856-9031,41163-811,Jiujiang,Waywood,Gaigeturi,China,20/01/2024,4015,Payton Delooze,Payton Stickley,Male
127,Park,846-797-8697,0078-0387,Orléans,Rowland,Lages,France,27/11/2023,7,Park O'Fihily,Park Keizman,Male
128,Dennison,135-287-5582,66336-843,Calaoagan,Sycamore,Sydney,Philippines,07/09/2023,65,Dennison Anger,Dennison Germain,Male
129,Antonino,371-348-5051,0517-0771,Kangani,Roth,Baga Borihe,Comoros,07/07/2023,89,Antonino Carmo,Antonino Nowland,Male
130,Cornela,164-446-5410,36987-3190,Gubukjero Timuk,Prairieview,Dongsheng,Indonesia,04/06/2023,9117,Cornela Clutram,Cornela Tombleson,Female
131,Daloris,787-473-0059,0555-0733,Guanghou,Oak,Shangpai,China,06/10/2023,2014,Daloris Frarey,Daloris Fullard,Female
132,Forrest,608-996-0798,67510-0301,Tanda,Atwood,Linköping,Egypt,24/12/2023,520,Forrest Onyon,Forrest Suston,Male
133,Coop,355-430-8617,36987-3126,Zhutang,Corry,Anaheim,China,01/12/2023,204,Coop Bernini,Coop Hawlgarth,Male
134,Willey,948-160-5959,49288-0579,Thạnh Mỹ,Lake View,Turpay,Vietnam,05/10/2023,610,Willey Schimpke,Willey Quigley,Male
135,Hillie,139-466-2501,65044-6693,Baota,Rusk,Stockholm,China,02/03/2024,1,Hillie Gabites,Hillie Jencken,Male
136,Erv,486-388-9686,60429-537,Casais de Vera Cruz,Cherokee,Port-de-Bouc,Portugal,29/08/2023,1,Erv Furnell,Erv Wagenen,Male
137,Rosene,260-640-1483,42248-114,Bojongsari,Bashford,Xijiang,Indonesia,23/04/2023,7,Rosene Markovic,Rosene Bartaloni,Female
138,Anitra,742-469-9409,54569-0396,Stockholm,Corscot,Ndano,Sweden,24/07/2023,71006,Anitra Ludy,Anitra Twentyman,Female
139,Perri,762-645-4802,59726-023,Rędziny,Hooker,Pilcomay,Poland,21/12/2023,61488,Perri Jelphs,Perri Geikie,Female
140,Chrysa,175-452-6132,68788-9101,Jinping,Dahle,Hannover,China,17/02/2024,396,Chrysa Dolligon,Chrysa Vandrill,Female
141,Gabby,370-571-8222,54868-0767,Ketapang,Kingsford,Ainaro,Indonesia,01/02/2024,4367,Gabby Mordecai,Gabby Esome,Male
142,Rosita,750-706-4845,64376-612,Fenghuangdong,Pawling,Solntsevo,China,12/08/2023,8817,Rosita Gee,Rosita Nudd,Female
143,Aluin,199-645-0085,36987-1624,Kigali,Kipling,Daugai,Rwanda,29/09/2023,929,Aluin Entissle,Aluin Nisbith,Male
144,Hermione,646-151-7439,60681-5302,Paraty,Walton,Datong,Brazil,25/01/2024,005,Hermione Dorro,Hermione Slatten,Female
145,Lindsy,844-803-5465,52125-566,Mateur,Schiller,Louisville,Tunisia,20/02/2024,4961,Lindsy Holde,Lindsy Vellender,Female
146,Chan,268-676-2720,65923-703,Ihuari,Loeprich,Ostrožská Lhota,Peru,25/07/2023,612,Chan Heinssen,Chan Burgoine,Male
147,Dode,678-673-9965,60512-6520,Kyurdarmir,Karstens,Muqi,Azerbaijan,04/10/2023,80602,Dode Thacker,Dode Dalbey,Female
148,Fabiano,831-795-6758,49908-273,Ḩabābah,Ruskin,Karangnunggal,Yemen,27/03/2024,8,Fabiano Minguet,Fabiano Spillane,Male
149,Micki,564-286-5299,68788-9017,Yacuíba,Luster,Irapa,Bolivia,06/12/2023,22226,Micki Brockway,Micki Harrill,Female
150,Rosalinde,401-442-6270,21532-1410,Cabiguan,Shopko,Manaulanan,Philippines,24/08/2023,8,Rosalinde Rubinchik,Rosalinde Mincini,Female
151,Aeriell,577-156-7214,42291-648,Skaudvilė,Buena Vista,Huangji,Lithuania,26/11/2023,3,Aeriell Simmen,Aeriell Chace,Female
152,Alleyn,714-868-7520,53808-0436,Tasböget,Morningstar,Masjed Soleymān,Kazakhstan,29/03/2024,82126,Alleyn Leworthy,Alleyn Hubbard,Male
153,Gay,955-294-1838,43269-726,Wilamowice,Arkansas,Limbalod,Poland,28/05/2023,51784,Gay Doak,Gay Son,Female
154,Inglebert,337-283-5617,49349-777,Lafayette,Mitchell,Yihe,United States,11/06/2023,2,Inglebert Bossom,Inglebert Hixson,Male
155,Creighton,844-650-1930,55312-051,Nam Khun,Marquette,Ţahţā,Thailand,30/08/2023,9501,Creighton Rouff,Creighton Kears,Male
156,Regina,831-167-4782,0591-0824,Jinhua,Mayfield,Pagaruša,China,24/12/2023,9075,Regina Danielsen,Regina Wrotchford,Female
157,Wye,743-885-4306,51285-443,Babakan Baru,Londonderry,Wydminy,Indonesia,22/08/2023,5625,Wye Dartnell,Wye Danilovich,Male
158,Antonietta,956-266-9066,0472-0242,Sali,Orin,Cijapar,Croatia,10/03/2024,1,Antonietta Mays,Antonietta Brunt,Female
159,Arliene,276-831-6041,69097-124,Badian,Elgar,Manadhoo,Philippines,19/07/2023,7,Arliene Harriott,Arliene Fudger,Female
160,Gardiner,734-321-3073,43742-0220,Berkovitsa,Stang,Xiaqiao,Bulgaria,23/08/2023,63671,Gardiner Harrhy,Gardiner Thorrold,Male
161,Neron,888-757-1645,0591-3128,Junkou,Texas,Waru,China,05/04/2024,32,Neron Arendt,Neron Kitter,Male
162,Meir,812-817-1482,37000-715,Asikkala,Comanche,Choca do Mar,Finland,24/11/2023,63,Meir Ebbett,Meir Seeler,Male
163,Jonathan,974-192-2349,0113-0340,Haifa,Bayside,Maqiu,Israel,09/01/2024,1,Jonathan Tourot,Jonathan McGonigle,Male
164,Stan,566-409-3954,58232-0730,Bowen Island,Dunning,Zoetermeer,Canada,15/09/2023,9456,Stan Ramas,Stan Simson,Male
165,Stavros,136-218-2559,49035-854,Centurion,Leroy,San Juan,South Africa,20/03/2024,8084,Stavros Camellini,Stavros Sawell,Male
166,Harald,360-452-3633,10812-384,Guadalupe,Caliangt,Limoges,Mexico,04/01/2024,66015,Harald Bignall,Harald Cumberland,Male
167,Saleem,595-686-7734,68462-467,Mīr Bachah Kōṯ,Meadow Valley,Kaliasin,Afghanistan,13/05/2023,64268,Saleem Tisor,Saleem Fenn,Male
168,Dottie,923-610-1659,10742-1526,Mafinga,Utah,Karátoulas,Tanzania,01/11/2023,67081,Dottie Huncote,Dottie Board,Female
169,Shalom,229-771-0424,59779-560,Boende,Nobel,Chulabhorn,Democratic Republic of the Congo,07/08/2023,344,Shalom Claremont,Shalom Dobney,Male
170,Gran,795-585-0876,30142-430,Jendouba,Weeping Birch,Nizami,Tunisia,14/07/2023,94231,Gran Outhwaite,Gran Ableson,Male
171,Dorie,196-279-9593,63629-1558,Panimbang,Garrison,Taibai,Indonesia,15/09/2023,5,Dorie Riseam,Dorie Dalzell,Male
172,Jervis,583-614-3581,49643-388,Chemin Grenier,Victoria,Yijing,Mauritius,24/06/2023,9,Jervis Moloney,Jervis Sich,Male
173,Alverta,493-615-2586,16590-141,Zea,Calypso,Hullo,Venezuela,06/04/2024,34650,Alverta McBayne,Alverta Budik,Female
174,Ardene,378-504-7964,60432-092,Barreiras,Shoshone,Sintra,Brazil,26/08/2023,70557,Ardene Matchell,Ardene Kadar,Female
175,Cristiano,146-135-9952,36987-2338,Keboncau,Summer Ridge,Luodian,Indonesia,22/06/2023,29,Cristiano Killford,Cristiano Sellers,Male
176,Lea,391-639-3521,10191-1845,Nagrog,Macpherson,Macau,Indonesia,28/05/2023,9,Lea Merryman,Lea Beefon,Female
177,Mordecai,360-352-4589,48951-8226,Al Midyah,Caliangt,Changchun,Palestinian Territory,27/03/2024,855,Mordecai Rubertis,Mordecai Barthelme,Male
178,Etan,244-443-0140,55621-009,Gwangtan,Springview,Tsybli,South Korea,09/04/2024,3,Etan Nisby,Etan Kellie,Male
179,Clarisse,987-371-0044,33261-390,Guangyi,Florence,Carregueira,China,27/09/2023,8,Clarisse Enrdigo,Clarisse Danick,Female
180,Daune,791-512-5069,49230-197,Encrucijada,Little Fleur,Miribel,Cuba,21/05/2023,8532,Daune Garroway,Daune Arckoll,Female
181,Eddie,374-905-3560,0065-1795,Humaitá,Green,Pulong Sampalok,Brazil,24/05/2023,1,Eddie Swannick,Eddie Trevillion,Male
182,Rakel,726-595-9963,64725-3339,Hengqu,Declaration,Beit Jann,China,29/08/2023,20,Rakel Sloy,Rakel Eddy,Female
183,Lambert,330-379-7997,0409-7967,Zhangting,Tony,Airuk,China,13/12/2023,503,Lambert Dreossi,Lambert Eck,Male
184,Dee,480-924-3293,0054-4084,Hetang,Merrick,Carolina,China,29/10/2023,39,Dee Saunt,Dee Birks,Female
185,Laraine,512-891-0246,36987-2776,Austin,Acker,Luocun,United States,22/10/2023,311,Laraine Thal,Laraine Bleesing,Female
186,Nedda,373-316-0781,58414-3046,Cibulakan,Homewood,Solna,Indonesia,11/02/2024,3552,Nedda Hyett,Nedda Huff,Female
187,Pate,128-139-6202,62085-1001,Larangan,Hoepker,Korem,Indonesia,05/10/2023,2,Pate Broinlich,Pate Guidera,Male
188,Anita,694-104-0118,68084-304,Nunbaundelha,Talisman,Sbo’o,Indonesia,29/01/2024,6902,Anita Alliston,Anita Burkart,Female
